"","class","Alcalinity_of_ash","Color_intensity"
"1",1,15.6,5.64
"2",1,11.2,4.38
"3",1,18.6,5.68
"4",1,16.8,7.8
"5",1,21,4.32
"6",1,15.2,6.75
"7",1,14.6,5.25
"8",1,17.6,5.05
"9",1,14,5.2
"10",1,16,7.22
"11",1,18,5.75
"12",1,16.8,5
"13",1,16,5.6
"14",1,11.4,5.4
"15",1,12,7.5
"16",1,17.2,7.3
"17",1,20,6.2
"18",1,20,6.6
"19",1,16.5,8.7
"20",1,15.2,5.1
"21",1,16,5.65
"22",1,18.6,4.5
"23",1,16.6,3.8
"24",1,17.8,3.93
"25",1,20,3.52
"26",1,25,3.58
"27",1,16.1,4.8
"28",1,17,3.95
"29",1,19.4,4.5
"30",1,16,4.7
"31",1,22.5,5.7
"32",1,19.1,6.9
"33",1,17.2,3.84
"34",1,19.5,5.4
"35",1,19,4.2
"36",1,20.5,5.1
"37",1,15.5,4.6
"38",1,18,4.25
"39",1,15.5,3.7
"40",1,13.2,5.1
"41",1,16.2,6.13
"42",1,18.8,4.28
"43",1,15,5.43
"44",1,17.5,4.36
"45",1,17,5.04
"46",1,18.9,5.24
"47",1,16,4.9
"48",1,16,6.1
"49",1,18.8,6.2
"50",1,17.4,8.9
"51",1,12.4,7.2
"52",1,17.2,5.6
"53",1,14,7.05
"54",1,17.1,6.3
"55",1,16.4,5.85
"56",1,20.5,6.25
"57",1,16.3,6.38
"58",1,16.8,6
"59",1,16.7,6.8
"60",2,10.6,1.95
"61",2,16,3.27
"62",2,16.8,5.75
"63",2,18,3.8
"64",2,19,4.45
"65",2,19,2.95
"66",2,18.1,4.6
"67",2,15,5.3
"68",2,19.6,4.68
"69",2,17,3.17
"70",2,16.8,2.85
"71",2,20.4,3.05
"72",2,25,3.38
"73",2,24,3.74
"74",2,30,3.35
"75",2,21,3.21
"76",2,16,3.8
"77",2,16,4.6
"78",2,18,2.65
"79",2,14.8,3.4
"80",2,23,2.57
"81",2,19,2.5
"82",2,18.8,3.9
"83",2,24,2.2
"84",2,22.5,4.8
"85",2,18,3.05
"86",2,18,2.62
"87",2,22.8,2.45
"88",2,26,2.6
"89",2,21.6,2.8
"90",2,23.6,1.74
"91",2,18.5,2.4
"92",2,22,3.6
"93",2,20.7,3.05
"94",2,18,2.15
"95",2,18,3.25
"96",2,19,2.6
"97",2,21.5,2.5
"98",2,16,2.9
"99",2,18.5,4.5
"100",2,18,2.3
"101",2,17.5,3.3
"102",2,18.5,2.45
"103",2,21,2.8
"104",2,19.5,2.06
"105",2,20.5,2.94
"106",2,22,2.7
"107",2,19,3.4
"108",2,22.5,3.3
"109",2,19,2.7
"110",2,20,2.65
"111",2,19.5,2.9
"112",2,21,2
"113",2,20,3.8
"114",2,21,3.08
"115",2,22.5,2.9
"116",2,21.5,1.9
"117",2,20.8,1.95
"118",2,22.5,2.06
"119",2,16,3.4
"120",2,19,1.28
"121",2,20,3.25
"122",2,28.5,6
"123",2,26.5,2.08
"124",2,21.5,2.6
"125",2,21,2.8
"126",2,21,2.76
"127",2,21.5,3.94
"128",2,28.5,3
"129",2,24.5,2.12
"130",2,22,2.6
