class,Alcalinity_of_ash,Color_intensity
1,15.6,5.64
1,11.2,4.38
1,18.6,5.68
1,16.8,7.8
1,21,4.32
1,15.2,6.75
1,14.6,5.25
1,17.6,5.05
1,14,5.2
1,16,7.22
1,18,5.75
1,16.8,5
1,16,5.6
1,11.4,5.4
1,12,7.5
1,17.2,7.3
1,20,6.2
1,20,6.6
1,16.5,8.7
1,15.2,5.1
1,16,5.65
1,18.6,4.5
1,16.6,3.8
1,17.8,3.93
1,20,3.52
1,25,3.58
1,16.1,4.8
1,17,3.95
1,19.4,4.5
1,16,4.7
1,22.5,5.7
1,19.1,6.9
1,17.2,3.84
1,19.5,5.4
1,19,4.2
1,20.5,5.1
1,15.5,4.6
1,18,4.25
1,15.5,3.7
1,13.2,5.1
1,16.2,6.13
1,18.8,4.28
1,15,5.43
1,17.5,4.36
1,17,5.04
1,18.9,5.24
1,16,4.9
1,16,6.1
1,18.8,6.2
1,17.4,8.9
1,12.4,7.2
1,17.2,5.6
1,14,7.05
1,17.1,6.3
1,16.4,5.85
1,20.5,6.25
1,16.3,6.38
1,16.8,6
1,16.7,6.8
2,10.6,1.95
2,16,3.27
2,16.8,5.75
2,18,3.8
2,19,4.45
2,19,2.95
2,18.1,4.6
2,15,5.3
2,19.6,4.68
2,17,3.17
2,16.8,2.85
2,20.4,3.05
2,25,3.38
2,24,3.74
2,30,3.35
2,21,3.21
2,16,3.8
2,16,4.6
2,18,2.65
2,14.8,3.4
2,23,2.57
2,19,2.5
2,18.8,3.9
2,24,2.2
2,22.5,4.8
2,18,3.05
2,18,2.62
2,22.8,2.45
2,26,2.6
2,21.6,2.8
2,23.6,1.74
2,18.5,2.4
2,22,3.6
2,20.7,3.05
2,18,2.15
2,18,3.25
2,19,2.6
2,21.5,2.5
2,16,2.9
2,18.5,4.5
2,18,2.3
2,17.5,3.3
2,18.5,2.45
2,21,2.8
2,19.5,2.06
2,20.5,2.94
2,22,2.7
2,19,3.4
2,22.5,3.3
2,19,2.7
2,20,2.65
2,19.5,2.9
2,21,2
2,20,3.8
2,21,3.08
2,22.5,2.9
2,21.5,1.9
2,20.8,1.95
2,22.5,2.06
2,16,3.4
2,19,1.28
2,20,3.25
2,28.5,6
2,26.5,2.08
2,21.5,2.6
2,21,2.8
2,21,2.76
2,21.5,3.94
2,28.5,3
2,24.5,2.12
2,22,2.6
