Player,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,logSalary
Player1,496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,2.698970004
Player2,321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,1.961421094
Player3,594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,2.875061263
Player4,185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,1.84509804
Player5,298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,2
Player6,323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,1.875061263
Player7,401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,3.041392685
Player8,574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,2.71361065
Player9,202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,2.70969387
Player10,418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,2.740362689
Player11,239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,2.84509804
Player12,196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,2.380211242
Player13,568,158,20,89,75,73,15,8068,2273,177,1045,993,732,105,290,10,2.889301703
Player14,190,46,2,24,8,15,5,479,102,5,65,23,39,102,177,16,2.243038049
Player15,127,32,8,16,22,14,8,727,180,24,67,82,56,202,22,2,2.130333768
Player16,426,109,3,55,43,62,1,426,109,3,55,43,62,361,22,2,2.06069784
Player17,472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,2.77815125
Player18,629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,2.890234853
Player19,324,73,4,32,18,22,7,1931,491,13,291,108,180,222,3,3,2.850237475
Player20,474,129,10,50,56,40,10,2331,604,61,246,327,166,732,83,13,2.875061263
Player21,550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,2.795880017
Player22,513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,2.954242509
Player23,419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,2.041392685
Player24,583,168,17,83,80,56,5,1646,452,44,219,208,136,109,292,25,2.787106093
Player25,379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,2.929418926
Player26,268,60,5,24,25,15,2,350,78,5,34,29,18,442,59,6,1.954242509
Player27,181,41,1,15,21,33,2,232,50,4,20,29,45,326,29,5,1.829303773
Player28,217,46,7,32,19,9,4,694,160,32,86,76,32,307,25,1,2.255272505
Player29,254,68,2,28,26,22,6,999,236,21,108,117,118,359,30,4,2.484299839
Player30,416,132,7,57,49,33,3,932,273,24,113,121,80,73,177,18,2.33243846
Player31,205,57,8,34,32,9,5,756,192,32,117,107,51,58,4,4,2.393575203
Player32,526,146,13,71,70,84,6,2648,715,77,352,342,289,303,9,9,2.911157609
Player33,457,101,14,42,63,22,17,6521,1767,281,1003,977,619,389,39,4,2.942008053
Player34,214,53,2,30,29,23,2,226,59,2,32,32,27,109,7,3,1.84509804
Player35,591,168,19,80,72,39,9,4478,1307,113,634,563,319,67,147,4,3.079181246
Player36,403,101,12,45,53,39,12,5150,1429,166,747,666,526,316,6,5,2.829303773
Player37,244,58,9,28,25,35,4,1335,333,49,164,179,194,142,14,2,2.531478917
Player38,627,177,25,98,81,70,6,3210,927,133,529,472,313,240,482,13,3.130333768
Player39,416,113,24,58,69,16,1,416,113,24,58,69,16,203,70,10,1.954242509
Player40,236,56,0,27,15,11,4,1115,270,1,116,64,57,125,199,13,2.361727836
Player41,216,53,1,31,15,22,4,926,210,9,118,69,114,73,152,11,2.352182518
Player42,585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,0,0,0,2.977723605
Player43,199,53,5,29,22,21,3,514,120,8,57,40,39,152,3,5,1.875061263
Player44,521,142,20,67,86,45,4,815,205,22,99,103,78,107,242,23,2.021189299
Player45,311,81,3,42,30,26,17,8247,2198,100,950,909,690,153,223,10,2.505149978
Player46,507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,808,108,2,2.728353782
Player47,529,137,26,86,97,97,15,6661,1785,291,1082,949,989,280,10,5,2.970036622
Player48,424,119,6,57,46,13,9,3651,1046,32,461,301,112,224,286,8,2.929418926
Player49,351,97,4,55,29,39,4,1258,353,16,196,110,117,226,7,3,2.322219295
Player50,339,96,4,37,29,23,4,1064,290,11,123,108,55,104,213,9,2.439332694
Player51,677,238,31,117,113,53,5,2223,737,93,349,401,171,1377,100,6,3.2955671
Player52,329,83,9,50,39,56,9,3828,948,145,575,528,635,276,6,2,2.77815125
Player53,637,174,31,89,116,56,14,6727,2024,247,978,1093,495,278,9,9,3.017728906
Player54,280,82,16,44,45,47,2,428,113,25,61,70,63,148,4,2,2.041392685
Player55,155,41,12,21,29,22,16,5409,1338,181,746,805,875,165,9,1,2.414973348
Player56,458,114,13,67,57,48,4,1350,298,28,160,123,122,246,389,18,2.67669361
Player57,314,83,13,39,46,16,5,1457,405,28,156,159,76,533,40,4,2.6349808
Player58,475,123,27,76,93,72,4,1810,471,108,292,343,267,226,10,6,3.086359831
Player59,511,138,25,76,96,61,3,592,164,28,87,110,71,157,7,8,2.161368002
Player60,382,119,13,54,58,36,12,2133,594,41,287,294,227,59,156,9,2.774516966
